source,target,value,naturalCourt,type
88,81,-1.558727,1404,CL
88,92,13.582567,1404,CL
88,90,10.289963,1404,CL
88,80,8.949159,1404,CL
88,86,10.927456,1404,CL
88,79,24.755939,1404,CL
80,91,12.045496,1404,CL
80,78,12.484452,1404,CL
80,81,11.882370,1404,CL
80,92,11.543381,1404,CL
80,90,-24.544942,1404,CL
80,88,9.155081,1404,CL
80,86,17.384090,1404,CL
80,79,-26.102533,1404,CL
86,91,14.500361,1404,CL
86,78,-11.035790,1404,CL
86,81,-10.387967,1404,CL
86,92,-1.080008,1404,CL
86,90,-2.930381,1404,CL
86,88,10.082395,1404,CL
86,80,13.383075,1404,CL
86,79,14.574433,1404,CL
79,91,21.397262,1404,CL
79,78,-2.552520,1404,CL
79,81,-2.174149,1404,CL
79,92,10.341904,1404,CL
79,90,4.054297,1404,CL
79,88,29.835487,1404,CL
79,80,-18.564113,1404,CL
79,86,13.552402,1404,CL
91,78,-20.531462,1404,nonCL
91,81,1.710856,1404,nonCL
91,92,13.743084,1404,nonCL
91,90,10.295621,1404,nonCL
91,88,-24.973312,1404,nonCL
91,80,11.748470,1404,nonCL
91,86,22.544343,1404,nonCL
91,79,21.460417,1404,nonCL
78,91,-19.996000,1404,nonCL
78,81,16.841513,1404,nonCL
78,92,-5.273284,1404,nonCL
78,90,28.775432,1404,nonCL
78,88,-4.038034,1404,nonCL
78,80,13.994817,1404,nonCL
78,86,28.774511,1404,nonCL
78,79,-3.215300,1404,nonCL
81,91,-0.822205,1404,nonCL
81,78,13.843407,1404,nonCL
81,92,3.522166,1404,nonCL
81,90,-7.203814,1404,nonCL
81,88,4.099111,1404,nonCL
81,80,-3.148291,1404,nonCL
81,86,-12.085525,1404,nonCL
81,79,-3.418149,1404,nonCL
92,91,2.386367,1404,nonCL
92,78,-6.506526,1404,nonCL
92,81,5.050516,1404,nonCL
92,90,19.270943,1404,nonCL
92,88,16.891243,1404,nonCL
92,80,17.578684,1404,nonCL
92,86,-0.070575,1404,nonCL
92,79,1.666748,1404,nonCL
90,91,17.822138,1404,nonCL
90,78,25.124914,1404,nonCL
90,81,-13.242083,1404,nonCL
90,92,17.464988,1404,nonCL
90,88,7.912570,1404,nonCL
90,80,-25.196343,1404,nonCL
90,86,2.913461,1404,nonCL
90,79,-1.558800,1404,nonCL
88,91,-25.141462,1404,nonCL
88,78,-4.171887,1404,nonCL
88,81,10.895265,1404,nonCL
88,92,21.453541,1404,nonCL
88,90,11.949227,1404,nonCL
88,80,11.390669,1404,nonCL
88,86,11.440243,1404,nonCL
88,79,43.658048,1404,nonCL
80,91,8.644210,1404,nonCL
80,78,14.516320,1404,nonCL
80,81,-7.386311,1404,nonCL
80,92,29.929115,1404,nonCL
80,90,-18.480301,1404,nonCL
80,88,4.110210,1404,nonCL
80,86,15.439195,1404,nonCL
80,79,-16.433496,1404,nonCL
86,91,9.280585,1404,nonCL
86,78,11.194002,1404,nonCL
86,81,-11.842177,1404,nonCL
86,92,-0.147562,1404,nonCL
86,90,-0.151365,1404,nonCL
